COUNTY,COUNTY_NAME,CTY_GEO_ID,SUBCOUNTY_NAME,SUBCTY_GEO_ID,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,Address
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,SC,SOUTH CLEVELAND,1121,False,SOUTH CLEVELAND,HAYNES BUILDING- 1805 SOUTH CHRISMAN ST CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,SCT,SCOTT,156,False,SCOTT,"SCOTT COMMUITY CENTER- 1 COTTON ROW, DEER CREEK DR SCOTT MS 38772"
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,SK,SKENE,255,True,SKENE,SKENE BAPTIST CHURCH- 2174 HIGHWAY 446 SKENE MS 38730
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,ST,STRINGTOWN,44,False,STRINGTOWN,OLD HERBERT STORE- STRINGTOWN ROAD BENOIT MS 38725
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,SW,SHAW,1388,False,SHAW,THE LOFT 210 WHITE OAK STREET SHAW MS 38773
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,WCC,WEST CENTRAL CLEVELAND,1501,True,WEST CENTRAL CLEVELAND,FIRST CHURCH OF NAZARENE- 700 YALE ST CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,WR,WEST ROSEDALE,1035,False,WEST ROSEDALE,BOLIVAR COUNTY COURTHOUSE- 801 MAIN ST ROSEDALE MS 38769
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,WTC,WEST CLEVELAND,396,True,WEST CLEVELAND,IMMANUEL BAPTIST CHURCH- 1300 LAMAR ST CLEVELAND MS 38732
BOLIVAR,"Bolivar County, Mississippi",0500000US28011,,,0,WV,WINSTONVILLE,261,False,WINSTONVILLE,WINSTONVILLE CITY HALL 101 OSLEY AVE WINSTONVILLE MS 38781
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 1, Calhoun County, Mississippi",0600000US2801390063,1,CC1,CALHOUN CITY #1,1175,True,CHURCH OF GOD OUR FATHER & THE LORD JESUS CHRIST,902 N MAIN ST HWY 9 CALHOUN CITY MS 38916
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 1, Calhoun County, Mississippi",0600000US2801390063,1,PITT1,PITTSBORO #1,677,False,COUNTY COURTHOUSE,103 W MAIN ST. (COURTROOM) PITTSBORO MS 38951
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 2, Calhoun County, Mississippi",0600000US2801390801,2,NEC2,NORTHEAST CALHOUN #2,1054,False,NE CALHOUN FIRE DEPT.,2A CR 151 (FIRESTATION) HOULKA MS 38850
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 2, Calhoun County, Mississippi",0600000US2801390801,2,PITT2,PITTSBORO #2,740,False,PITTSBORO FIRE DEPT.,117 E MAIN ST. (FIRE DEPARTMENT) PITTSBORO MS 38951
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 3, Calhoun County, Mississippi",0600000US2801391539,3,BRUCE3,BRUCE #3,1325,False,BRUCE FIRE DEPT.,118 E CALHOUN ST. (FIRE DEPT.) BRUCE MS 38915
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 3, Calhoun County, Mississippi",0600000US2801391539,3,BANN3,BANNER #3,536,False,BANNER FIRE DEPT.,516 HWY 9W (FIRE DEPT.) BRUCE MS 38915
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 4, Calhoun County, Mississippi",0600000US2801392277,4,CC4,CALHOUN CITY 4,1176,False,CALHOUN CITY FIRE DEPT.,201 E RUSSEL AVE (FIRE DEPT.) CALHOUN CITY MS 38916
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 4, Calhoun County, Mississippi",0600000US2801392277,4,DERM4,DERMA # 4,511,False,DERMA CITY HALL,120 S. MAIN ST. (CITY HALL) DERMA MS 38839
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 5, Calhoun County, Mississippi",0600000US2801393015,5,DERM5,DERMA #5,649,False,DERMA FIRE DEPT.,310 E LAWRENCE AVE (FIRE DEPT.) DERMA MS 38839
CALHOUN,"Calhoun County, Mississippi",0500000US28013,"District 5, Calhoun County, Mississippi",0600000US2801393015,5,VARD5,VARDAMAN #5,1113,False,VARDAMAN MASONIC HALL,411 N. MAIN ST (MASONIC HALL) VARDAMAN MS 38878
CARROLL,"Carroll County, Mississippi",0500000US28015,"District 1, Carroll County, Mississippi",0600000US2801590072,1,1-CAL,CALVARY,233,False,CALVARY FIRE STATION,5246 CR 94 GRENADA MS 38901
